East,North,Elevation,bo,cpy,py,alte,mine,dom,ug
156437.5612,93401.25123,3452.26,0.147,1.252,0.21899999999999997,BTK,CPY,3,3
156436.9705,93412.24227999999,3395.48,0.446,0.535,0.086,BTK,CPY,3,3
156490.3281,93132.48163,3740.23,0.008,0.95,0.642,SCL,CPY,3,2
156485.9207,93159.63811,3625.82,0.085,1.2,1.952,BTK,BN,3,4
156481.12699999998,93186.67036,3509.53,0.039,1.083,0.248,POT,BN,3,4
156478.9561,93199.63799,3453.05,0.185,1.545,0.198,BTK,BN,3,4
156474.6528,93219.37393999999,3364.96,0.083,0.991,0.135,BTK,BN,3,4
156583.2191,93354.91109,3740.32,0.214,0.304,0.9229999999999999,SCL,CPY,3,2
156583.0569,93356.10126,3653.93,0.179,0.86,0.11699999999999999,POT,BN,3,4
156582.6049,93357.19825,3596.34,0.08,1.32,0.534,POT,CPY,3,3
156582.1838,93359.54753,3538.77,0.237,1.054,1.494,BTK,BN,3,4
156581.4074,93363.02487000001,3452.43,0.27899999999999997,0.7040000000000001,0.409,BTK,BN,3,4
156581.2105,93366.68855,3394.91,0.233,0.69,0.16899999999999998,BTK,BN,3,4
156634.9829,93123.08889,3798.12,0.035,0.653,0.9620000000000001,SCL,CPY,3,2
156635.1414,93125.62452,3740.55,0.198,0.847,0.787,SCL,CPY,3,2
156635.5897,93128.25332999999,3683.0,0.191,1.006,0.991,SCL,CPY,3,2
156636.038,93130.88213,3625.46,0.19,1.198,1.8730000000000002,PPL,CPY,3,2
156636.6795,93133.57305,3567.91,0.059000000000000004,0.785,0.415,POT,CPY,3,3
156636.7724,93137.32991,3510.39,0.48700000000000004,0.6,0.55,BTK,BN,3,4
156636.5755,93140.99359,3452.88,0.135,0.594,1.4469999999999998,POT,CPY,3,3
156636.282,93144.62622,3395.41,0.306,0.6709999999999999,0.5660000000000001,BTK,CPY,3,3
156635.7296,93149.41795,3337.98,0.204,0.525,0.34600000000000003,BTK,BN,3,4
156634.9185,93155.3688,3280.61,0.316,0.42200000000000004,0.231,BTK,BN,3,4
156689.242,92875.91872,3736.33,0.006,0.937,1.08,SCL,CPY,3,2
156690.9188,92873.9732,3649.98,0.066,1.003,0.209,BTK,CPY,3,3
156692.4024,92871.96556,3592.42,0.177,2.003,0.237,BTK,BN,3,4
156694.8209,92869.01622,3506.09,0.174,1.185,0.226,BTK,BN,3,4
156697.2704,92867.31916,3419.78,0.07,0.74,0.111,POT,BN,3,4
156699.6889,92864.36982,3362.27,0.18600000000000003,0.7090000000000001,0.615,BTK,BN,3,4
156701.8486,92862.57959,3304.78,0.184,0.823,0.114,BTK,CPY,3,3
156704.074,92859.56813,3247.3,0.435,0.879,0.509,BTK,BN,3,4
156706.5581,92855.39756,3189.83,0.359,1.5519999999999998,0.273,BTK,BN,3,4
156708.7835,92852.3861,3132.42,0.10300000000000001,1.31,0.823,BTK,CPY,3,3
156733.0308,92631.59358,3653.78,0.0,1.033,2.332,SCL,CPY,3,2
156732.1961,92628.84054,3596.25,0.052000000000000005,0.9540000000000001,0.825,SCL,CPY,3,2
156731.4581,92626.11856,3538.71,0.08800000000000001,1.3359999999999999,1.5590000000000002,BTK,CPY,3,3
156730.6234,92623.36552,3481.17,0.363,1.176,0.46799999999999997,FIL,BN,3,2
156729.6921,92620.58142,3423.65,0.252,1.6019999999999999,0.17800000000000002,BTK,CPY,3,3
156727.795,92617.48675,3366.18,0.606,1.4040000000000001,0.085,BTK,BN,3,4
156725.0285,92614.11254,3308.79,0.306,1.122,0.09300000000000001,BTK,BN,3,4
156722.0378,92609.42394,3251.48,0.27399999999999997,1.485,0.213,BTK,BN,3,4
156717.888,92604.36262999999,3192.52,0.514,1.0859999999999999,0.33,BTK,BN,3,4
156713.0621,92599.08392,3135.51,0.231,1.212,0.36200000000000004,BTK,CPY,3,3
156706.5632,92592.02493,3077.13,0.2,1.32,0.17800000000000002,BTK,CPY,3,3
156699.0017,92584.6243,3020.89,0.251,1.268,0.64,BTK,CPY,3,3
156691.0229,92575.84714,2962.98,0.003,0.915,0.762,BTK,CPY,3,3
156682.6887,92568.19805,2905.06,0.040999999999999995,0.831,0.233,BTK,CPY,3,3
156673.8716,92560.39366,2847.31,0.031,1.1,0.42,BTK,CPY,3,3
156791.0533,92389.36047999999,3539.62,0.0,0.867,1.3769999999999998,SCL,CPY,3,2
156790.636,92387.98396,3482.04,0.015,1.4080000000000001,0.413,SCL,CPY,3,2
156789.8669,92384.0097,3365.09,0.38299999999999995,0.765,0.289,BTK,CPY,3,3
156789.7084,92381.47407000001,3307.52,0.389,0.986,0.32899999999999996,BTK,BN,3,4
156789.2911,92380.09755,3249.95,0.5820000000000001,0.715,0.35,BTK,BN,3,4
156789.06699999998,92378.78315,3192.37,0.48200000000000004,1.053,0.381,BTK,BN,3,4
156789.1982,92376.34069,3134.8,1.124,1.258,0.418,BTK,BN,3,4
156789.1673,92375.08841,3077.22,0.3,0.56,0.445,BTK,BN,3,4
156789.3951,92372.67701,3019.64,0.13699999999999998,0.895,0.5329999999999999,BTK,CPY,3,3
156789.2676,92371.39367,2962.06,0.028999999999999998,0.733,0.606,BTK,CPY,3,3
156788.9468,92370.0482,2913.48,0.038,1.3869999999999998,0.531,BTK,CPY,3,3
156769.5673,93167.60537,3797.76,0.07400000000000001,0.9520000000000001,0.302,BTK,BN,3,4
156770.2125,93166.57049,3740.18,0.135,1.205,1.6130000000000002,BTK,CPY,3,3
156771.1165,93164.3765,3682.6,0.316,0.977,0.184,BTK,BN,3,4
156773.2143,93160.0817,3567.48,0.109,1.008,1.213,SCL,CPY,3,2
156775.6985,93155.91113,3481.21,0.06,1.635,0.64,BTK,BN,3,4
156777.7307,93152.83755,3423.73,0.201,1.026,0.46799999999999997,BTK,CPY,3,3
156780.0216,93148.60487000001,3366.31,0.13,1.104,0.248,BTK,CPY,3,3
